Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
Hardwick town,VT06,VT,6,0,Northeastern Vermont Development Association,531825,1,Not Applicable,5031825,-,VT
Groton town,VT06,VT,6,0,Northeastern Vermont Development Association,530550,1,Not Applicable,5030550,-,VT
Gilsum,NH07,NH,7,0,Southwest Region Planning Commission,529220,1,Not Applicable,3329220,-,Gi
Fitzwilliam,NH07,NH,7,0,Southwest Region Planning Commission,526500,1,Not Applicable,3326500,-,Fi
Freetown town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,525240,1,"Boston-Cambridge-Quincy, MA-NH",2525240,4552402,MA
Fall River city,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,523000,1,"Providence-New Bedford-Fall River, RI-MA",2523000,1600852,MA
Fairhaven town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,522130,1,"Boston-Cambridge-Quincy, MA-NH",2522130,4552402,MA
Easton town,MA10,MA,10,0,Old Colony Planning Council,520100,1,"Boston-Cambridge-Quincy, MA-NH",2520100,4552402,MA
Dublin,NH07,NH,7,0,Southwest Region Planning Commission,519140,1,Not Applicable,3319140,-,Du
Cornwall town,CT06,CT,6,0,Northwest Hills Council of Governments,517240,1,Not Applicable,917240,-,CT
Danville town,VT06,VT,6,0,Northeastern Vermont Development Association,517125,1,Not Applicable,5017125,-,VT
Dighton town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,516950,1,"Boston-Cambridge-Quincy, MA-NH",2516950,4552402,MA
Dartmouth town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,516425,1,"Boston-Cambridge-Quincy, MA-NH",2516425,4552402,MA
Colebrook town,CT06,CT,6,0,Northwest Hills Council of Governments,516050,1,Not Applicable,916050,-,CT
Chesterfield,NH07,NH,7,0,Southwest Region Planning Commission,512260,1,Not Applicable,3312260,-,Ch
Canaan town,CT06,CT,6,0,Northwest Hills Council of Governments,510940,1,Not Applicable,910940,-,CT
Burke town,VT06,VT,6,0,Northeastern Vermont Development Association,510450,1,Not Applicable,5010450,-,VT
