Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
Monroe County,TN01,TN,1,0,East Tennessee Development District,47123,0,Not Applicable,,-,TN
Meigs County,TN08,TN,8,0,Southeast Tennessee Development District,47121,0,Not Applicable,,-,TN
Maury County,TN06,TN,6,0,South Central Tennessee Development District,47119,0,"Nashville-Davidson--Murfreesboro--Franklin, TN",,1589934,TN
Marshall County,TN06,TN,6,0,South Central Tennessee Development District,47117,0,Not Applicable,,-,TN
Marion County,TN08,TN,8,0,Southeast Tennessee Development District,47115,0,"Chattanooga, TN-GA",,528143,TN
Madison County,TN05,TN,5,0,Southwest Tennessee Development District,47113,0,"Jackson, TN",,115425,TN
Macon County,TN07,TN,7,0,Upper Cumberland Development District,47111,0,"Nashville-Davidson--Murfreesboro--Franklin, TN",,1589934,TN
McNairy County,TN05,TN,5,0,Southwest Tennessee Development District,47109,0,Not Applicable,,-,TN
McMinn County,TN08,TN,8,0,Southeast Tennessee Development District,47107,0,Not Applicable,,-,TN
Loudon County,TN01,TN,1,0,East Tennessee Development District,47105,0,"Knoxville, TN",,698030,TN
Lincoln County,TN06,TN,6,0,South Central Tennessee Development District,47103,0,Not Applicable,,-,TN
Lewis County,TN06,TN,6,0,South Central Tennessee Development District,47101,0,Not Applicable,,-,TN
Lawrence County,TN06,TN,6,0,South Central Tennessee Development District,47099,0,Not Applicable,,-,TN
Lauderdale County,TN02,TN,2,0,Memphis Area Association of Governments,47097,0,Not Applicable,,-,TN
Lake County,TN04,TN,4,0,Northwest Tennessee Development District,47095,0,Not Applicable,,-,TN
Knox County,TN01,TN,1,0,East Tennessee Development District,47093,0,"Knoxville, TN",,698030,TN
Johnson County,TN09,TN,9,0,First Tenessee Development District,47091,0,Not Applicable,,-,TN
Jefferson County,TN01,TN,1,0,East Tennessee Development District,47089,0,"Morristown, TN",,136608,TN
Jackson County,TN07,TN,7,0,Upper Cumberland Development District,47087,0,Not Applicable,,-,TN
Humphreys County,TN03,TN,3,0,Greater Nashville Regional Council ,47085,0,Not Applicable,,-,TN
Houston County,TN03,TN,3,0,Greater Nashville Regional Council ,47083,0,Not Applicable,,-,TN
Hickman County,TN06,TN,6,0,South Central Tennessee Development District,47081,0,"Nashville-Davidson--Murfreesboro--Franklin, TN",,1589934,TN
Henry County,TN04,TN,4,0,Northwest Tennessee Development District,47079,0,Not Applicable,,-,TN
Henderson County,TN05,TN,5,0,Southwest Tennessee Development District,47077,0,Not Applicable,,-,TN
Haywood County,TN05,TN,5,0,Southwest Tennessee Development District,47075,0,Not Applicable,,-,TN
Hawkins County,TN09,TN,9,0,First Tenessee Development District,47073,0,"Kingsport-Bristol-Bristol, TN-VA",,309544,TN
Hardin County,TN05,TN,5,0,Southwest Tennessee Development District,47071,0,Not Applicable,,-,TN
Hardeman County,TN05,TN,5,0,Southwest Tennessee Development District,47069,0,Not Applicable,,-,TN
Hancock County,TN09,TN,9,0,First Tenessee Development District,47067,0,Not Applicable,,-,TN
Hamilton County,TN08,TN,8,0,Southeast Tennessee Development District,47065,0,"Chattanooga, TN-GA",,528143,TN
Hamblen County,TN01,TN,1,0,East Tennessee Development District,47063,0,"Morristown, TN",,136608,TN
Grundy County,TN08,TN,8,0,Southeast Tennessee Development District,47061,0,Not Applicable,,-,TN
Greene County,TN09,TN,9,0,First Tenessee Development District,47059,0,Not Applicable,,-,TN
Grainger County,TN01,TN,1,0,East Tennessee Development District,47057,0,"Knoxville, TN",,698030,TN
Giles County,TN06,TN,6,0,South Central Tennessee Development District,47055,0,Not Applicable,,-,TN
Gibson County,TN04,TN,4,0,Northwest Tennessee Development District,47053,0,Not Applicable,,-,TN
Franklin County,TN06,TN,6,0,South Central Tennessee Development District,47051,0,Not Applicable,,-,TN
Fentress County,TN07,TN,7,0,Upper Cumberland Development District,47049,0,Not Applicable,,-,TN
Fayette County,TN02,TN,2,0,Memphis Area Association of Governments,47047,0,"Memphis, TN-MS-AR",,1316100,TN
Dyer County,TN04,TN,4,0,Northwest Tennessee Development District,47045,0,Not Applicable,,-,TN
Dickson County,TN03,TN,3,0,Greater Nashville Regional Council ,47043,0,"Nashville-Davidson--Murfreesboro--Franklin, TN",,1589934,TN
DeKalb County,TN07,TN,7,0,Upper Cumberland Development District,47041,0,Not Applicable,,-,TN
Decatur County,TN05,TN,5,0,Southwest Tennessee Development District,47039,0,Not Applicable,,-,TN
Davidson County,TN03,TN,3,0,Greater Nashville Regional Council ,47037,0,"Nashville-Davidson--Murfreesboro--Franklin, TN",,1589934,TN
Cumberland County,TN07,TN,7,0,Upper Cumberland Development District,47035,0,Not Applicable,,-,TN
Crockett County,TN04,TN,4,0,Northwest Tennessee Development District,47033,0,"Jackson, TN",,115425,TN
Coffee County,TN06,TN,6,0,South Central Tennessee Development District,47031,0,Not Applicable,,-,TN
Cocke County,TN01,TN,1,0,East Tennessee Development District,47029,0,Not Applicable,,-,TN
Clay County,TN07,TN,7,0,Upper Cumberland Development District,47027,0,Not Applicable,,-,TN
Claiborne County,TN01,TN,1,0,East Tennessee Development District,47025,0,Not Applicable,,-,TN
Chester County,TN05,TN,5,0,Southwest Tennessee Development District,47023,0,"Jackson, TN",,115425,TN
Cheatham County,TN03,TN,3,0,Greater Nashville Regional Council ,47021,0,"Nashville-Davidson--Murfreesboro--Franklin, TN",,1589934,TN
Carter County,TN09,TN,9,0,First Tenessee Development District,47019,0,"Johnson City, TN",,198716,TN
Carroll County,TN04,TN,4,0,Northwest Tennessee Development District,47017,0,Not Applicable,,-,TN
Cannon County,TN07,TN,7,0,Upper Cumberland Development District,47015,0,"Nashville-Davidson--Murfreesboro--Franklin, TN",,1589934,TN
Campbell County,TN01,TN,1,0,East Tennessee Development District,47013,0,"Knoxville, TN",,698030,TN
Bradley County,TN08,TN,8,0,Southeast Tennessee Development District,47011,0,"Cleveland, TN",,115788,TN
Blount County,TN01,TN,1,0,East Tennessee Development District,47009,0,"Knoxville, TN",,698030,TN
Bledsoe County,TN08,TN,8,0,Southeast Tennessee Development District,47007,0,Not Applicable,,-,TN
Benton County,TN04,TN,4,0,Northwest Tennessee Development District,47005,0,Not Applicable,,-,TN
Bedford County,TN06,TN,6,0,South Central Tennessee Development District,47003,0,Not Applicable,,-,TN
Anderson County,TN01,TN,1,0,East Tennessee Development District,47001,0,"Knoxville, TN",,698030,TN
Ziebach County,SD99,SD,99,0,Unattached,46137,0,Not Applicable,,-,SD
Yankton County,SD03,SD,3,0,Planning and Development District III,46135,0,Not Applicable,,-,SD
Walworth County,SD04,SD,4,0,Northeast Council of Governments,46129,0,Not Applicable,,-,SD
Union County,SD01,SD,1,IA12,South Eastern Council of Governments,46127,0,"Sioux City, IA-NE-SD",,143577,SD
Turner County,SD01,SD,1,0,South Eastern Council of Governments,46125,0,"Sioux Falls, SD",,228261,SD
Tripp County,SD03,SD,3,0,Planning and Development District III,46123,0,Not Applicable,,-,SD
Todd County,SD99,SD,99,0,Unattached,46121,0,Not Applicable,,-,SD
Sully County,SD06,SD,6,0,Central South Dakota Enhancement District,46119,0,Not Applicable,,-,SD
Stanley County,SD06,SD,6,0,Central South Dakota Enhancement District,46117,0,Not Applicable,,-,SD
Spink County,SD04,SD,4,0,Northeast Council of Governments,46115,0,Not Applicable,,-,SD
Sanborn County,SD03,SD,3,0,Planning and Development District III,46111,0,Not Applicable,,-,SD
Roberts County,SD05,SD,5,0,First District Association of Local Governments,46109,0,Not Applicable,,-,SD
Potter County,SD04,SD,4,0,Northeast Council of Governments,46107,0,Not Applicable,,-,SD
Perkins County,SD02,SD,2,0,Black Hills Council of Governments,46105,0,Not Applicable,,-,SD
Pennington County,SD02,SD,2,0,Black Hills Council of Governments,46103,0,"Rapid City, SD",,126382,SD
Oglala Lakota County,SD99,SD,99,0,Unattached,46102,0,Not Applicable,,-,SD
Moody County,SD05,SD,5,0,First District Association of Local Governments,46101,0,Not Applicable,,-,SD
Minnehaha County,SD01,SD,1,0,South Eastern Council of Governments,46099,0,"Sioux Falls, SD",,228261,SD
Miner County,SD05,SD,5,0,First District Association of Local Governments,46097,0,Not Applicable,,-,SD
Mellette County,SD03,SD,3,0,Planning and Development District III,46095,0,Not Applicable,,-,SD
Meade County,SD02,SD,2,0,Black Hills Council of Governments,46093,0,"Rapid City, SD",,126382,SD
Marshall County,SD04,SD,4,0,Northeast Council of Governments,46091,0,Not Applicable,,-,SD
McPherson County,SD04,SD,4,0,Northeast Council of Governments,46089,0,Not Applicable,,-,SD
McCook County,SD01,SD,1,0,South Eastern Council of Governments,46087,0,"Sioux Falls, SD",,228261,SD
Lyman County,SD03,SD,3,0,Planning and Development District III,46085,0,Not Applicable,,-,SD
Lincoln County,SD01,SD,1,0,South Eastern Council of Governments,46083,0,"Sioux Falls, SD",,228261,SD
Lawrence County,SD02,SD,2,0,Black Hills Council of Governments,46081,0,Not Applicable,,-,SD
Lake County,SD05,SD,5,0,First District Association of Local Governments,46079,0,Not Applicable,,-,SD
Kingsbury County,SD05,SD,5,0,First District Association of Local Governments,46077,0,Not Applicable,,-,SD
Jones County,SD06,SD,6,0,Central South Dakota Enhancement District,46075,0,Not Applicable,,-,SD
Jerauld County,SD03,SD,3,0,Planning and Development District III,46073,0,Not Applicable,,-,SD
Jackson County,SD06,SD,6,0,Central South Dakota Enhancement District,46071,0,Not Applicable,,-,SD
Hyde County,SD06,SD,6,0,Central South Dakota Enhancement District,46069,0,Not Applicable,,-,SD
Hutchinson County,SD03,SD,3,0,Planning and Development District III,46067,0,Not Applicable,,-,SD
Hughes County,SD06,SD,6,0,Central South Dakota Enhancement District,46065,0,Not Applicable,,-,SD
Harding County,SD02,SD,2,0,Black Hills Council of Governments,46063,0,Not Applicable,,-,SD
Hanson County,SD03,SD,3,0,Planning and Development District III,46061,0,Not Applicable,,-,SD
Hand County,SD04,SD,4,0,Northeast Council of Governments,46059,0,Not Applicable,,-,SD
Hamlin County,SD05,SD,5,0,First District Association of Local Governments,46057,0,Not Applicable,,-,SD
Haakon County,SD06,SD,6,0,Central South Dakota Enhancement District,46055,0,Not Applicable,,-,SD
Gregory County,SD03,SD,3,0,Planning and Development District III,46053,0,Not Applicable,,-,SD
Grant County,SD05,SD,5,0,First District Association of Local Governments,46051,0,Not Applicable,,-,SD
Faulk County,SD04,SD,4,0,Northeast Council of Governments,46049,0,Not Applicable,,-,SD
Fall River County,SD02,SD,2,0,Black Hills Council of Governments,46047,0,Not Applicable,,-,SD
Edmunds County,SD04,SD,4,0,Northeast Council of Governments,46045,0,Not Applicable,,-,SD
Douglas County,SD03,SD,3,0,Planning and Development District III,46043,0,Not Applicable,,-,SD
Dewey County,SD99,SD,99,0,Unattached,46041,0,Not Applicable,,-,SD
Deuel County,SD05,SD,5,0,First District Association of Local Governments,46039,0,Not Applicable,,-,SD
Day County,SD04,SD,4,0,Northeast Council of Governments,46037,0,Not Applicable,,-,SD
Davison County,SD03,SD,3,0,Planning and Development District III,46035,0,Not Applicable,,-,SD
Custer County,SD02,SD,2,0,Black Hills Council of Governments,46033,0,"Rapid City, SD",,126382,SD
Corson County,SD99,SD,99,0,Unattached,46031,0,Not Applicable,,-,SD
Codington County,SD05,SD,5,0,First District Association of Local Governments,46029,0,Not Applicable,,-,SD
Clay County,SD01,SD,1,0,South Eastern Council of Governments,46027,0,Not Applicable,,-,SD
Clark County,SD05,SD,5,0,First District Association of Local Governments,46025,0,Not Applicable,,-,SD
Charles Mix County,SD03,SD,3,0,Planning and Development District III,46023,0,Not Applicable,,-,SD
Campbell County,SD04,SD,4,0,Northeast Council of Governments,46021,0,Not Applicable,,-,SD
Butte County,SD02,SD,2,0,Black Hills Council of Governments,46019,0,Not Applicable,,-,SD
Buffalo County,SD03,SD,3,0,Planning and Development District III,46017,0,Not Applicable,,-,SD
Brule County,SD03,SD,3,0,Planning and Development District III,46015,0,Not Applicable,,-,SD
Brown County,SD04,SD,4,0,Northeast Council of Governments,46013,0,Not Applicable,,-,SD
Brookings County,SD05,SD,5,0,First District Association of Local Governments,46011,0,Not Applicable,,-,SD
Bon Homme County,SD03,SD,3,0,Planning and Development District III,46009,0,Not Applicable,,-,SD
Bennett County,SD02,SD,2,0,Black Hills Council of Governments,46007,0,Not Applicable,,-,SD
Beadle County,SD04,SD,4,0,Northeast Council of Governments,46005,0,Not Applicable,,-,SD
Aurora County,SD03,SD,3,0,Planning and Development District III,46003,0,Not Applicable,,-,SD
York County,SC04,SC,4,0,Catawba Regional Council of Governments,45091,0,"Charlotte-Concord-Gastonia, NC-SC",,1758038,SC
Williamsburg County,SC10,SC,10,0,Waccamaw Regional Council of Governments,45089,0,Not Applicable,,-,SC
Union County,SC04,SC,4,0,Catawba Regional Council of Governments,45087,0,"Spartanburg, SC",,284307,SC
Sumter County,SC08,SC,8,0,Santee-Lynches Regional Council of Governments,45085,0,"Sumter, SC",,107456,SC
Spartanburg County,SC02,SC,2,0,Appalachian Council of Governments,45083,0,"Spartanburg, SC",,284307,SC
Saluda County,SC09,SC,9,0,Upper Savannah Council of Governments,45081,0,"Columbia, SC",,767598,SC
Richland County,SC01,SC,1,0,Central Midlands Council of Governments,45079,0,"Columbia, SC",,767598,SC
Pickens County,SC02,SC,2,0,Appalachian Council of Governments,45077,0,"Greenville-Anderson-Mauldin, SC",,636986,SC
Orangeburg County,SC06,SC,6,0,Lower Savannah Council of Governments,45075,0,Not Applicable,,-,SC
Oconee County,SC02,SC,2,0,Appalachian Council of Governments,45073,0,Not Applicable,,-,SC
Newberry County,SC01,SC,1,0,Central Midlands Council of Governments,45071,0,Not Applicable,,-,SC
Marlboro County,SC07,SC,7,0,Pee Dee Regional Council of Governments,45069,0,Not Applicable,,-,SC
Marion County,SC07,SC,7,0,Pee Dee Regional Council of Governments,45067,0,Not Applicable,,-,SC
McCormick County,SC09,SC,9,0,Upper Savannah Council of Governments,45065,0,Not Applicable,,-,SC
Lexington County,SC01,SC,1,0,Central Midlands Council of Governments,45063,0,"Columbia, SC",,767598,SC
Lee County,SC08,SC,8,0,Santee-Lynches Regional Council of Governments,45061,0,Not Applicable,,-,SC
Laurens County,SC09,SC,9,0,Upper Savannah Council of Governments,45059,0,"Greenville-Anderson-Mauldin, SC",,636986,SC
Lancaster County,SC04,SC,4,0,Catawba Regional Council of Governments,45057,0,"Charlotte-Concord-Gastonia, NC-SC",,1758038,SC
Kershaw County,SC08,SC,8,0,Santee-Lynches Regional Council of Governments,45055,0,"Columbia, SC",,767598,SC
Jasper County,SC05,SC,5,0,Lowcountry Council of Governments,45053,0,"Hilton Head Island-Bluffton-Beaufort, SC",,198467,SC
Horry County,SC10,SC,10,0,Waccamaw Regional Council of Governments,45051,0,"Myrtle Beach-North Myrtle Beach-Conway, SC",,269291,SC
Hampton County,SC05,SC,5,0,Lowcountry Council of Governments,45049,0,Not Applicable,,-,SC
Greenwood County,SC09,SC,9,0,Upper Savannah Council of Governments,45047,0,Not Applicable,,-,SC
Greenville County,SC02,SC,2,0,Appalachian Council of Governments,45045,0,"Greenville-Anderson-Mauldin, SC",,636986,SC
Georgetown County,SC10,SC,10,0,Waccamaw Regional Council of Governments,45043,0,Not Applicable,,-,SC
Florence County,SC07,SC,7,0,Pee Dee Regional Council of Governments,45041,0,"Florence, SC",,205566,SC
Fairfield County,SC01,SC,1,0,Central Midlands Council of Governments,45039,0,"Columbia, SC",,767598,SC
Edgefield County,SC09,SC,9,0,Upper Savannah Council of Governments,45037,0,"Augusta-Richmond County, GA-SC",,556877,SC
Dorchester County,SC03,SC,3,0,Berkeley-Charleston-Dorchester Council of Governments,45035,0,"Charleston-North Charleston, SC",,664607,SC
Dillon County,SC07,SC,7,0,Pee Dee Regional Council of Governments,45033,0,Not Applicable,,-,SC
Darlington County,SC07,SC,7,0,Pee Dee Regional Council of Governments,45031,0,"Florence, SC",,205566,SC
Colleton County,SC05,SC,5,0,Lowcountry Council of Governments,45029,0,Not Applicable,,-,SC
Clarendon County,SC08,SC,8,0,Santee-Lynches Regional Council of Governments,45027,0,Not Applicable,,-,SC
Chesterfield County,SC07,SC,7,0,Pee Dee Regional Council of Governments,45025,0,Not Applicable,,-,SC
Chester County,SC04,SC,4,0,Catawba Regional Council of Governments,45023,0,"Charlotte-Concord-Gastonia, NC-SC",,1758038,SC
Cherokee County,SC02,SC,2,0,Appalachian Council of Governments,45021,0,Not Applicable,,-,SC
Charleston County,SC03,SC,3,0,Berkeley-Charleston-Dorchester Council of Governments,45019,0,"Charleston-North Charleston, SC",,664607,SC
Calhoun County,SC06,SC,6,0,Lower Savannah Council of Governments,45017,0,"Columbia, SC",,767598,SC
Berkeley County,SC03,SC,3,0,Berkeley-Charleston-Dorchester Council of Governments,45015,0,"Charleston-North Charleston, SC",,664607,SC
Beaufort County,SC05,SC,5,0,Lowcountry Council of Governments,45013,0,"Hilton Head Island-Bluffton-Beaufort, SC",,198467,SC
Barnwell County,SC06,SC,6,0,Lower Savannah Council of Governments,45011,0,Not Applicable,,-,SC
Bamberg County,SC06,SC,6,0,Lower Savannah Council of Governments,45009,0,Not Applicable,,-,SC
Anderson County,SC02,SC,2,0,Appalachian Council of Governments,45007,0,"Greenville-Anderson-Mauldin, SC",,636986,SC
Allendale County,SC06,SC,6,0,Lower Savannah Council of Governments,45005,0,Not Applicable,,-,SC
Aiken County,SC06,SC,6,0,Lower Savannah Council of Governments,45003,0,"Augusta-Richmond County, GA-SC",,556877,SC
Abbeville County,SC09,SC,9,0,Upper Savannah Council of Governments,45001,0,Not Applicable,,-,SC
York County,PA55,PA,55,0,York Area MPO,42133,0,"York-Hanover, PA",,434972,PA
Wyoming County,PA10,PA,10,0,Northern Tier Regional Planning and Development Commission,42131,0,"Scranton--Wilkes-Barre, PA",,563631,PA
Westmoreland County,PA02,PA,2,0,Southwestern Pennsylvania Commission,42129,0,"Pittsburgh, PA",,2356285,PA
Wayne County,PA07,PA,7,0,Northeastern Pennsylvania Alliance,42127,0,Not Applicable,,-,PA
Washington County,PA02,PA,2,0,Southwestern Pennsylvania Commission,42125,0,"Pittsburgh, PA",,2356285,PA
Warren County,PA08,PA,8,0,Northwest Commission,42123,0,Not Applicable,,-,PA
Venango County,PA08,PA,8,0,Northwest Commission,42121,0,Not Applicable,,-,PA
Union County,PA06,PA,6,0,SEDA Council of Governments,42119,0,Not Applicable,,-,PA
Tioga County,PA10,PA,10,0,Northern Tier Regional Planning and Development Commission,42117,0,Not Applicable,,-,PA
Susquehanna County,PA10,PA,10,0,Northern Tier Regional Planning and Development Commission,42115,0,Not Applicable,,-,PA
Sullivan County,PA10,PA,10,0,Northern Tier Regional Planning and Development Commission,42113,0,Not Applicable,,-,PA
Somerset County,PA05,PA,5,0,Southern Alleghenies Planning & Development Commission,42111,0,Not Applicable,,-,PA
Snyder County,PA06,PA,6,0,SEDA Council of Governments,42109,0,Not Applicable,,-,PA
Schuylkill County,PA07,PA,7,0,Northeastern Pennsylvania Alliance,42107,0,Not Applicable,,-,PA
Potter County,PA09,PA,9,0,North Central Pennsylvania Planning and Development Commission,42105,0,Not Applicable,,-,PA
Pike County,PA07,PA,7,0,Northeastern Pennsylvania Alliance,42103,0,"New York-Northern New Jersey-Long Island, NY-NJ-PA",,18897109,PA
Philadelphia County,PA01,PA,1,0,Delaware Valley Regional Planning Commission,42101,0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,5965343,PA
Perry County,PA03,PA,3,PA03,SEDA Council of Governments,42099,0,"Harrisburg-Carlisle, PA",,549475,PA
Northumberland County,PA06,PA,6,0,SEDA Council of Governments,42097,0,Not Applicable,,-,PA
Northampton County,PA04,PA,4,0,Lehigh Valley Planning Commission,42095,0,"Allentown-Bethlehem-Easton, PA-NJ",,821173,PA
Montour County,PA06,PA,6,0,SEDA Council of Governments,42093,0,"Bloomsburg-Berwick, PA",,85338,PA
Montgomery County,PA01,PA,1,0,Delaware Valley Regional Planning Commission,42091,0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,5965343,PA
Monroe County,PA07,PA,7,0,Northeastern Pennsylvania Alliance,42089,0,"East Stroudsburg, PA",,167148,PA
Mifflin County,PA06,PA,6,0,SEDA Council of Governments,42087,0,Not Applicable,,-,PA
Mercer County,PA08,PA,8,0,Northwest Commission,42085,0,"Youngstown-Warren-Boardman, OH-PA",,565773,PA
McKean County,PA09,PA,9,0,North Central Pennsylvania Planning and Development Commission,42083,0,Not Applicable,,-,PA
Lycoming County,PA06,PA,6,0,SEDA Council of Governments,42081,0,"Williamsport, PA",,116111,PA
Luzerne County,PA07,PA,7,0,Northeastern Pennsylvania Alliance,42079,0,"Scranton--Wilkes-Barre, PA",,563631,PA
Lehigh County,PA04,PA,4,0,Lehigh Valley Planning Commission,42077,0,"Allentown-Bethlehem-Easton, PA-NJ",,821173,PA
Lebanon County,PA54,PA,54,0,Lebanon County MPO,42075,0,"Lebanon, PA",,133568,PA
Lawrence County,PA02,PA,2,0,Southwestern Pennsylvania Commission,42073,0,Not Applicable,,-,PA
Lancaster County,PA53,PA,53,0,Lancaster County Transportation Coordinating Committee,42071,0,"Lancaster, PA",,519445,PA
Lackawanna County,PA07,PA,7,0,Northeastern Pennsylvania Alliance,42069,0,"Scranton--Wilkes-Barre, PA",,563631,PA
Juniata County,PA06,PA,6,0,SEDA Council of Governments,42067,0,Not Applicable,,-,PA
Jefferson County,PA09,PA,9,0,North Central Pennsylvania Planning and Development Commission,42065,0,Not Applicable,,-,PA
Indiana County,PA02,PA,2,0,Southwestern Pennsylvania Commission,42063,0,Not Applicable,,-,PA
Huntingdon County,PA05,PA,5,0,Southern Alleghenies Planning & Development Commission,42061,0,Not Applicable,,-,PA
Greene County,PA02,PA,2,0,Southwestern Pennsylvania Commission,42059,0,Not Applicable,,-,PA
Fulton County,PA05,PA,5,0,Southern Alleghenies Planning & Development Commission,42057,0,Not Applicable,,-,PA
Franklin County,PA52,PA,52,0,Franklin County MPO,42055,0,"Chambersburg-Waynesboro, PA",,152085,PA
Forest County,PA08,PA,8,0,Northwest Commission,42053,0,Not Applicable,,-,PA
Fayette County,PA02,PA,2,0,Southwestern Pennsylvania Commission,42051,0,"Pittsburgh, PA",,2356285,PA
Erie County,PA08,PA,8,0,Northwest Commission,42049,0,"Erie, PA",,280566,PA
Elk County,PA09,PA,9,0,North Central Pennsylvania Planning and Development Commission,42047,0,Not Applicable,,-,PA
Delaware County,PA01,PA,1,0,Delaware Valley Regional Planning Commission,42045,0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,5965343,PA
Dauphin County,PA03,PA,3,0,Tri-County Regional Planning Commission ,42043,0,"Harrisburg-Carlisle, PA",,549475,PA
Cumberland County,PA03,PA,3,0,Tri-County Regional Planning Commission ,42041,0,"Harrisburg-Carlisle, PA",,549475,PA
Crawford County,PA08,PA,8,0,Northwest Commission,42039,0,Not Applicable,,-,PA
Columbia County,PA06,PA,6,0,SEDA Council of Governments,42037,0,"Bloomsburg-Berwick, PA",,85338,PA
Clinton County,PA06,PA,6,0,SEDA Council of Governments,42035,0,Not Applicable,,-,PA
Clearfield County,PA09,PA,9,0,North Central Pennsylvania Planning and Development Commission,42033,0,Not Applicable,,-,PA
Clarion County,PA08,PA,8,0,Northwest Commission,42031,0,Not Applicable,,-,PA
Chester County,PA01,PA,1,0,Delaware Valley Regional Planning Commission,42029,0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,5965343,PA
Centre County,PA06,PA,6,0,SEDA Council of Governments,42027,0,"State College, PA",,153990,PA
Carbon County,PA07,PA,7,0,Northeastern Pennsylvania Alliance,42025,0,"Allentown-Bethlehem-Easton, PA-NJ",,821173,PA
Cameron County,PA09,PA,9,0,North Central Pennsylvania Planning and Development Commission,42023,0,Not Applicable,,-,PA
Cambria County,PA05,PA,5,0,Southern Alleghenies Planning & Development Commission,42021,0,"Johnstown, PA",,143679,PA
Butler County,PA02,PA,2,0,Southwestern Pennsylvania Commission,42019,0,"Pittsburgh, PA",,2356285,PA
Bucks County,PA01,PA,1,0,Delaware Valley Regional Planning Commission,42017,0,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,5965343,PA
Bradford County,PA10,PA,10,0,Northern Tier Regional Planning and Development Commission,42015,0,Not Applicable,,-,PA
Blair County,PA05,PA,5,0,Southern Alleghenies Planning & Development Commission,42013,0,"Altoona, PA",,127089,PA
Berks County,PA51,PA,51,0,Reading Area Transportation Study,42011,0,"Reading, PA",,411442,PA
Bedford County,PA05,PA,5,0,Southern Alleghenies Planning & Development Commission,42009,0,Not Applicable,,-,PA
Beaver County,PA02,PA,2,0,Southwestern Pennsylvania Commission,42007,0,"Pittsburgh, PA",,2356285,PA
Armstrong County,PA02,PA,2,0,Southwestern Pennsylvania Commission,42005,0,"Pittsburgh, PA",,2356285,PA
Allegheny County,PA02,PA,2,0,Southwestern Pennsylvania Commission,42003,0,"Pittsburgh, PA",,2356285,PA
Adams County,PA50,PA,50,0,Adams County Transportation Planning Organization,42001,0,"Gettysburg, PA",,101546,PA
Yamhill County,OR05,OR,5,0,Mid-Willamette Valley Council of Governments,41071,0,"Portland-Vancouver-Hillsboro, OR-WA",,2226009,OR
Wheeler County,OR04,OR,4,0,Mid-Columbia Council of Governments,41069,0,Not Applicable,,-,OR
Washington County,OR75,OR,75,0,Portland Metro,41067,0,"Portland-Vancouver-Hillsboro, OR-WA",,2226009,OR
Wasco County,OR04,OR,4,0,Mid-Columbia Council of Governments,41065,0,Not Applicable,,-,OR
Wallowa County,OR09,OR,9,0,Northeast Oregon Economic Development District,41063,0,Not Applicable,,-,OR
Union County,OR09,OR,9,0,Northeast Oregon Economic Development District,41061,0,Not Applicable,,-,OR
Umatilla County,OR08,OR,8,0,Greater Eastern Oregon Development Corporation,41059,0,Not Applicable,,-,OR
Tillamook County,OR10,OR,10,0,Columbia-Pacific Economic Development District,41057,0,Not Applicable,,-,OR
Sherman County,OR04,OR,4,0,Mid-Columbia Council of Governments,41055,0,Not Applicable,,-,OR
Polk County,OR05,OR,5,0,Mid-Willamette Valley Council of Governments,41053,0,"Salem, OR",,390738,OR
Multnomah County,OR75,OR,75,0,Portland Metro,41051,0,"Portland-Vancouver-Hillsboro, OR-WA",,2226009,OR
Morrow County,OR08,OR,8,0,Greater Eastern Oregon Development Corporation,41049,0,Not Applicable,,-,OR
Marion County,OR05,OR,5,0,Mid-Willamette Valley Council of Governments,41047,0,"Salem, OR",,390738,OR
Malheur County,OR08,OR,8,0,Greater Eastern Oregon Development Corporation,41045,0,Not Applicable,,-,OR
Linn County,OR06,OR,6,0,Oregon Cascades West Council of Governments,41043,0,"Albany, OR",,118765,OR
Lincoln County,OR06,OR,6,0,Oregon Cascades West Council of Governments,41041,0,Not Applicable,,-,OR
Lane County,OR03,OR,3,0,Lane Council of Governments,41039,0,"Eugene, OR",,356212,OR
Lake County,OR11,OR,11,0,South Central Oregon Economic Development District,41037,0,Not Applicable,,-,OR
Klamath County,OR11,OR,11,0,South Central Oregon Economic Development District,41035,0,Not Applicable,,-,OR
Josephine County,OR07,OR,7,0,Rogue Valley Council of Governments,41033,0,"Grants Pass, OR",,83306,OR
Jefferson County,OR02,OR,2,0,Central Oregon Intergovernmental Council,41031,0,Not Applicable,,-,OR
Jackson County,OR07,OR,7,0,Rogue Valley Council of Governments,41029,0,"Medford, OR",,203206,OR
Hood River County,OR04,OR,4,0,Mid-Columbia Council of Governments,41027,0,Not Applicable,,-,OR
Harney County,OR08,OR,8,0,Greater Eastern Oregon Development Corporation,41025,0,Not Applicable,,-,OR
Grant County,OR08,OR,8,0,Greater Eastern Oregon Development Corporation,41023,0,Not Applicable,,-,OR
Gilliam County,OR04,OR,4,0,Mid-Columbia Council of Governments,41021,0,Not Applicable,,-,OR
